SampleID	MF0075	MF0086	MF0088	MF0089	M00023	M00038	Acetic_acid	Butyric_acid	Tryptophan																
84L49	0.007	0.031	0.003	1.79e-03	0.00596	6.51e-05	63.251	10.417	2253.687																
86L49	0.004	0.029	0.006	1.67e-02	0.00828	6.50e-05	90.325	10.171	3641.464																
94L49	0.01	0.027	0.007	3.49e-03	0.00629	3.16e-04	73.276	2.211	3844.81																
97L49	0.011	0.029	0.011	2.24e-03	0.00620	4.61e-05	58.748	2.062	3447.447																
99L49	0.005	0.026	0.006	1.60e-03	0.00731	1.53e-04	53.143	10.028	760.27																
107L49	0.004	0.031	0.002	1.37e-03	0.00297	6.68e-05	19.109	2.616	3159.216																
118L49	0.008	0.028	0.006	5.33e-03	0.00668	2.28e-04	57.46	1.988	3635.999																
119L49	0.011	0.032	0	4.21e-04	0.00743	1.97e-05	21.831	2.029	1592.874																
124L49	0.004	0.027	0.003	7.32e-04	0.00728	9.42e-05	27.448	12.151	3576.05																
240L63	0.003	0.025	0.003	2.73e-04	0.00785	1.84e-05	33.74	1.737	2560.392																
243L63	0.008	0.029	0.002	1.04e-03	0.00862	1.95e-04	73.26	2.447	4161.606																
254L63	0.005	0.031	0.004	1.01e-03	0.00600	2.20e-05	54.75	1.982	3560.455																
265L63	0.005	0.024	0.007	2.12e-03	0.00675	9.15e-05	14.721	2.171	3390.293																
275L63	0.005	0.031	0.003	5.39e-04	0.00613	1.44e-04	11.283	2.216	4264.267																
276L63	0.005	0.02	0.004	1.54e-03	0.00832	1.63e-04	32.413	2.207	3177.372																
283L63	0.005	0.031	0.002	2.74e-03	0.00705	2.96e-05	19.91	1.771	2540.409																
285L63	0.014	0.03	0.002	1.10e-03	0.00835	2.88e-05	14.176	1.622	3428.446																
297L63	0.004	0.03	0.002	1.34e-03	0.00436	6.77e-05	21.726	2.652	3379.716																
299L63	0.007	0.026	0.006	2.22e-03	0.00751	1.76e-04	9.867	1.859	3140.28																
306L63	0.002	0.026	0.006	2.90e-05	0.00763	3.89e-05	13.591	2.513	3372.623																
311L63	0.003	0.03	0.004	1.82e-03	0.00690	1.83e-05	25.58	16.469	3546.961																
313L63	0.002	0.028	0.008	5.11e-03	0.00709	2.72e-05	20.082	1.544	3241.978																
333L63	0.002	0.027	0.004	1.96e-05	0.00595	9.53e-07	14.385	2.188	3011.341																
340L63	0.002	0.03	0.002	1.25e-03	0.00529	8.48e-06	12.904	2.073	3218.928																
143L49	0.004	0.03	0.001	7.66e-04	0.00484	1.16e-04	99.836	44.835	3192.746																
146L49	0.001	0.031	0.001	9.19e-04	0.00750	3.71e-05	88.9	11.457	3968.372																
149L49	0.018	0.03	0.001	3.97e-03	0.00919	3.02e-05	70.522	12.421	3687.06																
169L49	0.005	0.016	0.009	4.00e-03	0.00532	1.73e-04	107.521	2.294	3020.831																
172L49	0.01	0.027	0.008	3.84e-03	0.00547	2.42e-04	48.204	2.434	2289.051																
188L49	0.005	0.027	0.005	6.10e-04	0.00506	3.74e-05	13.407	1.915	3470.937																
202L49	0.015	0.032	0.006	1.52e-03	0.00707	7.43e-05	22.958	6.693	2866.453																
206L49	0.006	0.028	0.007	2.35e-03	0.00414	7.78e-05	7.701	10.947	3908.464																
214L49	0.008	0.024	0.008	1.13e-03	0.00661	1.04e-04	32.795	11.154	3267.355																
219L49	0.007	0.031	0.004	6.89e-03	0.00643	7.81e-06	50.36	2.239	3517.199																
225L49	0.007	0.028	0.011	8.37e-04	0.00456	3.36e-05	44.751	2.526	2589.276																
177L63	0.004	0.025	0.006	1.03e-03	0.00662	8.25e-06	5.836	1.891	6591.856																
2L49	0.002	0.032	0.001	2.12e-03	0.00349	6.13e-06	41.93	8.166	5012.104																
7L49	0.021	0.029	0.001	2.43e-04	0.00968	3.26e-06	33.435	8.969	2956.824																
15L49	0.005	0.028	0.003	4.34e-04	0.00570	1.49e-04	10.613	1.789	4108.513																
16L49	0.003	0.026	0.006	2.22e-03	0.00710	3.33e-05	24.623	2.694	2998.133																
21L49	0.011	0.03	0.003	5.59e-03	0.00682	9.85e-05	23.986	2.382	3558.61																
38L49	0.004	0.026	0.004	3.25e-04	0.00544	3.30e-05	5.504	25.204	3769.229																
40L49	0.01	0.029	0.012	7.61e-03	0.00716	5.65e-05	15.314	1.827	2461.732																
41L49	0.006	0.031	0.003	2.75e-03	0.00368	8.23e-05	5.138	2.174	3845.161																
397L63	0.016	0.03	0.002	8.25e-04	0.00857	1.02e-05	60.272	2.214	3849.828																
79L49	0.002	0.029	0.001	7.19e-04	0.00545	2.76e-05	15.779	44.653	3771.541																
427L63	0.011	0.03	0.002	1.31e-03	0.00726	1.11e-05	101.881	3.016	5103.203																
