ASV	phylum	class	order	family	genus	purported_species	bin
ASV1	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	copri	Prevotella
ASV2	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	vulgatus	Bacteroides
ASV3	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA	Blautia
ASV4	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA	Faecalibacterium
ASV5	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	Bacteroides
ASV6	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii	Faecalibacterium
ASV7	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	prausnitzii	Faecalibacterium
ASV8	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	NA	Agathobacter
ASV9	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	Bifidobacterium
ASV10	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	muciniphila	Akkermansia
ASV11	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	massiliensis	Blautia
ASV12	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	saccharivorans	Fusicatenibacter
ASV13	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	Prevotella
ASV14	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	Ruminococcaceae
ASV15	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis	Bacteroides
ASV16	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	NA	Subdoligranulum
ASV17	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	NA	Ruminococcus
